"Path","Platform","Compiled","Cooked","Permutations","Compiletime","CompiledDouble","CookedDouble"
"Globals","0","4628","0","1","0.000000","0","0"
"/ControlRig/Controls/ControlRigGizmoMaterial.ControlRigGizmoMaterial","0","4","1","1","2.297203","0","13"
"/Engine/EditorMaterials/PhAT_NoCollisionMaterial.PhAT_NoCollisionMaterial","0","5","1","1","3.219975","0","19"
"/Engine/EngineMaterials/Widget3DPassThrough.Widget3DPassThrough","0","54","35","6","31.365347","5","231"
"/Engine/EngineDebugMaterials/DebugEditorMaterial.DebugEditorMaterial","0","6","6","1","2.702933","0","8"
"/Interchange/Materials/UnlitMaterial.UnlitMaterial","0","4","4","1","2.087939","0","4"
"/Engine/EditorMaterials/PhAT_UnselectedMaterial.PhAT_UnselectedMaterial","0","5","3","1","2.530336","0","14"
"/MeshModelingToolset/Materials/M_DynamicMeshComponentVtxColor.M_DynamicMeshComponentVtxColor","0","17","1","1","10.945100","0","83"
"/Engine/EngineMaterials/GizmoMaterial.GizmoMaterial","0","6","2","1","2.534248","0","21"
"/Engine/EngineMaterials/RemoveSurfaceMaterial.RemoveSurfaceMaterial","0","4","4","1","1.949426","0","4"
"/Interchange/gltf/M_Opaque.M_Opaque","0","224","32","8","151.580597","0","1522"
"/Engine/EngineDebugMaterials/DebugMeshMaterial.DebugMeshMaterial","0","7","4","1","3.390800","0","25"
"/ControlRig/Controls/ControlRigXRayMaterial.ControlRigXRayMaterial","0","9","2","1","4.067505","0","32"
"/Engine/EditorLandscapeResources/SplineEditorMeshMat.SplineEditorMeshMat","0","12","3","1","5.702960","0","60"
"/Engine/EngineDebugMaterials/M_SimpleUnlitTranslucent.M_SimpleUnlitTranslucent","0","5","5","1","2.635057","0","8"
"/Engine/EditorMaterials/Camera/CineMat.CineMat","0","28","5","1","23.241770","0","257"
"/Interchange/gltf/M_Translucent.M_Translucent","0","200","16","8","1289.227661","0","1280"
"/Engine/VREditor/TransformGizmo/Xray.Xray","0","14","2","1","12.797295","0","55"
"/Engine/VREditor/TransformGizmo/Main.Main","0","5","5","1","3.258689","0","9"
"/Engine/VREditor/TransformGizmo/TranslucentTransformGizmoMaterial.TranslucentTransformGizmoMaterial","0","5","5","1","3.743802","0","8"
